bus_stop_id,bus_stop_ars,bus_stop_name,sum
105000483,6026,용두동사거리.한국의류시험연구원,3990
105000484,6025,용두동사거리,8637
105000485,6028,신설동역,7747
105000486,6027,신설동역,8969
105000488,6426,청량리수산시장,10257
105000489,6779,동답초교.대림아파트,5049
105000557,6780,정화여자중.상업고등학교,3246
106000035,7129,국민은행망우동지점,2074
106000037,7131,국민은행망우동지점,2462
106000040,7134,망우역,3150
106000065,7159,상봉터미널입구,2030
106000066,7160,혜원여중고입구,1181
106000067,7161,혜원여중고입구,802
106000068,7162,봉우재고개,1078
106000069,7163,봉우재고개,917
106000070,7164,우림시장,1506
106000071,7165,우림시장,3066
106000072,7166,지하철7호선상봉역,1759
106000073,7167,지하철7호선상봉역,3631
106000074,7168,면목초등학교,1001
106000075,7169,면목초등학교,1294
106000076,7170,지하철7호선면목역,1762
106000077,7171,지하철7호선면목역,1281
106000078,7172,면목본동주민센터.면목정보도서관,751
106000079,7173,면목본동주민센터.면목정보도서관,912
106000080,7174,면동초등학교,575
106000081,7175,면동초등학교,1149
106000082,7176,면목우체국.녹색병원,443
106000083,7177,면목우체국.녹색병원,1469
106000084,7178,지하철7호선사가정역,381
106000085,7179,지하철7호선사가정역,1676
106000086,7180,면목시장,1266
106000087,7181,면남초등학교,246
106000088,7182,면남초등학교,1295
106000089,7183,방약국앞,73
106000090,7184,방약국앞,1031
106000095,7189,용마공원입구,3797
106000096,7190,용마공원입구,2311
106000097,7191,면일초등학교,4326
106000098,7192,우리은행망우동지점,4205
106000099,7193,서일대학교,2544
106000100,7194,서일대학교,3764
106000101,7195,용마문화복지센터,5289
106000102,7196,용마문화복지센터,2876
106000103,7197,중화중학교,3304
106000104,7198,중화중학교.다문화가족지원센터,2273
106000105,7199,면중초등학교,5262
106000106,7200,면중초등학교,2069
106000147,7242,홈플러스면목동점,1771
106000148,7243,홈플러스면목동점,4449
106000149,7244,면목두산아파트2차,1665
106000150,7245,면목두산아파트2차,5512
106000151,7246,사가정역,3190
106000152,7247,사가정역,10818
106000153,7248,사가정시장,8289
106000154,7249,사가정시장,1956
106000155,7250,용마산교차로,3196
106000166,7261,쌍용아파트신내테크노타운앞,829
106000167,7262,쌍용아파트신내테크노타운앞,1762
106000168,7263,엘지아파트앞,1202
106000169,7264,엘지아파트앞,1181
106000170,7265,신현중학교,1438
106000171,7266,신현중학교,2112
106000172,7267,중랑구청,5779
106000173,7268,중랑구청,4312
106000176,7271,성원아파트경남아너스빌앞,1125
106000177,7272,성원아파트경남아너스빌앞,2963
106000178,7273,중랑구청사거리,2370
106000213,7308,상봉터미널,5567
106000214,7309,상봉터미널,1518
106000310,7408,상봉1동주민센터,2686
106000311,7409,상봉1동주민센터,823
106000312,7410,신내쌍용아파트,961
106000313,7411,신내쌍용아파트,772
106000434,7007,망우역.망우지구대,1032
107000058,8148,성가복지병원,3104
107000059,8149,성가복지병원,5021
107000060,8150,종암경찰서,4505
107000061,8151,종암경찰서,4840
107000062,8152,종암동주민센터,2921
107000063,8153,종암동주민센터,5514
107000064,8154,숭례초교,3236
107000065,8155,숭례초등학교,5316
107000081,8171,미아초교,1476
107000082,8172,미아초교,6932
107000083,8173,길음동동부아파트,1345
107000084,8174,길음동동부아파트,6470
107000152,8247,길음역,7566
107000153,8248,길음역,4092
107000231,8327,성북우체국현대백화점,3312
107000233,8329,현대백화점,9759
108000049,9137,화계사입구.한신대학교대학원,11
108000050,9138,수유동삼양탕앞,1579
108000051,9139,수유동삼양탕앞,110
108000052,9140,화계사입구사거리,2778
108000053,9141,화계사입구사거리,143
108000068,9156,화계사입구,203
108000069,9157,화계사입구,2483
108000070,9158,빨래골입구,853
108000071,9159,빨래골입구,4115
108000072,9160,롯데마트삼양점.래미안1차아파트,1653
108000073,9161,롯데마트삼양점.래미안1차아파트,4124
108000074,9162,삼양초등학교,760
108000075,9163,삼양초등학교,1986
108000076,9164,강북청소년문화정보도서관입구,1063
108000077,9165,강북청소년문화정보도서관입구,1575
108000078,9166,삼양동사거리,2217
108000079,9167,삼양동사거리,4509
108000080,9168,송천초등학교.미아뉴타운입구,1577
108000081,9169,송천초등학교.미아뉴타운입구,5857
108000196,9291,화계사입구.종점,737
108000365,9305,화계사입구.한신대학교대학원,1804
111000009,12009,은평뉴타운10단지,2252
111000010,12010,은평뉴타운10단지,75
111000020,12106,연신내역,11196
111000025,12111,구파발역2번출구,13461
111000031,12119,연신내역,3248
111000097,12185,연서시장,5195
111000098,12186,종로약국,5299
111000099,12187,불광지구대,9782
111000100,12188,북한산대창센시티아파트,8089
111000101,12189,은평경찰서,2447
111000102,12190,폭포동,3816
111000104,12192,신도중학교,2082
111000107,12195,은평노인종합복지관.신도중학교,3973
111000109,12197,폭포동.은평노인종합복지관,1883
111000110,12198,은평경찰서,2751
111000111,12199,연신초등학교,2766
111000112,12200,불광지구대,2433
111000113,12201,새장골유래비,6609
111000114,12202,연서시장,12739
111000546,12463,신도초교.은평메디텍고등학교,9448
111000547,12462,동부센트레빌320동앞,5966
111000548,12461,두산위브253동앞,2615
111000549,12460,동부센트레빌324동앞,2911
111000550,12459,진관동주민센터.은평우체국,7040
111000551,12458,진관동주민센터.은평우체국,862
111000922,12465,두산위브205동앞,3628
111000929,12020,동명여고.천주교불광동성당,2297
111000930,12019,동명여고.천주교불광동성당,7919
111000931,12022,불광역3.6호선,4738
111000932,12021,불광역3.6호선,8260
111000933,12024,불광역3호선.서울혁신파크,4112
111000934,12023,불광역3호선.서울혁신파크,7914
111000935,12026,한전성서지사.북한산푸르지오,3377
111000936,12025,한전성서지사.북한산푸르지오,5903
111000937,12028,녹번역,4419
111000938,12027,녹번역,5567
111000941,12474,신도초교.은평메디텍고등학교,4913
111001112,12469,진관공영차고지,7
111001113,12470,진관공영차고지,410
111001116,12112,구파발역.롯데몰,1786
112000051,13134,금화초등학교.서울시교육청,4728
112000398,13031,무악재역,756
112000400,13032,무악재역,6475
112000401,13035,독립문역.한성과학고,5380
112000402,13034,독립문역.한성과학고,4121
112000404,13033,안산초등학교,1115
112000405,13026,산골고개,4340
112000406,13027,산골고개,6684
112000407,13028,홍제역,6492
112000408,13029,홍제역,13199
112000409,13040,인왕산.홍제원아파트,9984
112000416,13030,홍제삼거리.인왕산한신휴플러스,1507
121000007,22007,래미안아파트.파이낸셜뉴스(중),6113
121000008,22008,래미안아파트.파이낸셜뉴스(중),13424
121000009,22009,신분당선강남역,11511
121000010,22010,신분당선강남역,14013
121000011,22011,지하철2호선강남역,12557
121000012,22012,지하철2호선강남역,15134
121000013,22013,논현역,9058
121000014,22014,논현역,8804
121000015,22015,신사역.푸른저축은행,8747
121000016,22016,신사역,8423
122000119,23222,한티역3번출구.서울강남고용노동지청,8233
122000120,23223,삼성아파트입구,11465
122000121,23224,농협대치지점,4486
122000122,23225,대치SKVIEW아파트.서울교회,3614
122000128,23231,대치역7번출구,2432
122000130,23233,은마아파트,1094
122000136,23239,대치역6번출구.강남구민회관,831
122000160,23263,은마아파트입구사거리,2961
122000161,23264,도곡초등학교,2073
122000162,23265,한티역2번출구.서울강남고용노동지청,3862
122000187,23291,역삼럭키아파트.역삼월드메르디앙아파트,5278
122000190,23294,뱅뱅사거리.역삼동,6138
122000206,23310,한티역7번출구,2940
122000207,23311,역삼중학교.강남세브란스병원,4705
122000208,23312,도곡1차아이파크.역삼청소년수련관,6199
122000210,23314,도곡1동주민센터.역삼럭키아파트,12011
122000211,23315,도곡1차아이파크.도곡중학교,7488
122000217,23321,뱅뱅사거리뱅뱅프라자,7970
122000226,23330,도곡렉슬아파트.강남세브란스병원,9032
122000227,23331,한티역6번출구,10924
122000244,23348,수도전기공고후문,2194
122000246,23350,주공4단지,158
122000247,23351,경기여고,2614
122000248,23352,개포동역.개포시장,5723
122000249,23353,개포주공5단지경기여고,487
122000250,23354,개포동역.개포시장,1031
122000343,23457,개포중학교,2233
122000349,23466,개포도서관,2426
122000408,23531,한남대교전망카페,2148
123000043,24132,잠실역8번출구,17583
123000044,24133,잠실역,1352
123000045,24134,잠실역1번.11번출구,6520
123000047,24136,송파구청.방이맛골,5065
123000108,24197,방이동사거리,4864
123000113,24202,서울방이동고분군,2753
123000125,24214,송파나루역,2106
123000126,24215,송파구청.방이맛골,6218
123000129,24218,방이초등학교,1238
123000130,24219,방이시장입구,572
123000131,24220,방이우체국,978
123000132,24221,올림픽공원남2문,1633
123000136,24225,방이시장입구,5745
123000137,24226,방이초등학교,1989
123000138,24227,신구블레스밸리앞,2314
123000139,24228,신구블레스밸리,629
123000140,24229,방이동대림코오롱아파트,3752
123000141,24230,방이동대림코오롱아파트,765
123000169,24259,신흥기업입구,24
123000170,24260,송파레미니스후문,1559
123000171,24261,송파레미니스후문,279
123000172,24262,오금공원사거리,1684
123000173,24263,오금공원사거리,344
123000174,24264,오금동대림아파트,1189
123000175,24265,오금동대림아파트,3278
123000300,24391,서울방이동고분군,942
123000507,24479,잠실대교전망쉼터,616
123000508,24480,잠실대교전망쉼터,936
123000632,24199,송파나루역,2494
123000640,24281,인애가요양병원,4857
218000221,35160,동산동능모퉁이.한국지역난방공사,36
990011530,~,중곡초등학교(가상),675
990071180,~,북부운수차고지(가상),525
990075746,~,개포동차고지(가상),14
998001031,~,화계사입구.종점(가상),186
