표준버스정류장ID,버스정류장ARS번호,역명
100900044,01505,서대문역3번출구
100900045,01525,통일부
100900046,01531,명륜시장.성대후문
100900047,01500,평창파출소
100900048,01564,가회동주민센터
100900049,01562,독립문초등학교
100900050,01561,아름다운실버
100900051,01558,창덕궁
100900052,01556,북촌한옥마을입구.정세권활동터
100900053,01555,청룡사.보문파크뷰자이아파트
100900054,01553,소나무집
100900055,01552,경복궁역
100900056,01551,경복궁
100900057,01550,종로3가.1.3.5호선
100900058,01548,안국선원.삼거리
100900059,01547,사우디대사관앞.경남빌라
100900060,01546,종로센트레빌후문.e편한세상보문아파트
100900061,01545,경희궁자이4단지
100900062,01544,언덕앞
100900063,01543,혜화우체국
100900064,01542,새마을금고
100900065,01541,광화문새마을금고
100900066,01539,종로4가.종묘공원
100900067,01538,인왕빌딩
100900068,01537,중앙중고
100900069,01536,감사원
100900070,01535,명신초.삼선푸르지오.힐스테이트
100900071,01534,영천시장
100900072,01533,청련사입구
100900073,01594,한국사회과학자료원
100900074,01593,감나무골공원
100900075,01592,혜화역1번출구
100900076,01591,서울대병원장례식장
100900077,01590,완성빌라
100900078,01589,낙원상가
100900079,01586,힐탑
100900080,01584,상명대후문
100900081,01583,수운회관
100900082,01581,넓은마당
100900083,01580,화인빌라
100900085,01578,서울대어린이병원응급실.갑상선센터
100900086,01576,헌법재판소.안국역
100900088,01574,무악현대아파트후문
100900089,01573,박종화고택입구
100900090,01572,이화사거리
100900091,01571,산정빌라
100900092,01570,아름다운가게.정독도서관
100900093,01569,쌍용아파트입구.창신역
100900094,01568,천사유치원
100900095,01567,보현산신각
100900096,01566,원남로터리
100900097,01565,문방구
100900098,01795,평창공원지킴터입구
100900099,01793,통인시장.종로구보건소
100900100,01792,삼청파출소
100900101,01790,종로사우나
100900102,01776,종로도서관
100900103,01732,밀알기도원
100900104,01729,오거리.한옥마을입구
100900105,01728,정독도서관
100900106,01727,인사동들머리.3.1독립선언터
100900107,01725,종로5가.3번출구
100900108,01724,활터앞
100900109,01723,참샘골공원
100900110,01722,성균관대학교
100900111,01721,광화문새마을금고
100900112,01714,상명초등학교
100900113,01699,단군성전앞
100900114,01698,무애사
100900115,01684,서교빌라
100900116,01683,종각역YMCA
100900117,01682,동대문역.2번출구
100900118,01667,종로문화센터
100900119,01607,EN갤러리
100900120,01597,경진빌라
100900121,01596,금강제화
100900122,01825,창신초교
100900123,01824,교남동새마을금고
100900124,01823,형제봉입구
100900125,01819,현대사거리
100900126,01817,대신중고
100900127,01816,연화정사
100900128,01815,이화사거리
100900129,01814,삼청공원삼거리.옥호정터
100900131,01812,재동초등학교
100900133,01810,카센터.터널앞
100900134,01809,감람산기도원
100900135,01807,금융연수원
100900137,01804,충신시장
100900138,01803,사직동주민센터
100900139,01802,김창열.윤명로화실
100900140,01801,박노수미술관
100900141,01800,삼청동주민센터
100900142,01799,상명대입구
100900143,01797,대학로입구.이화사거리
100900144,01798,운현궁
100900145,01796,배화여중고.매동초교
100900147,01851,감사원
100900148,01850,청룡사.보문파크뷰자이아파트
100900149,01849,강북삼성병원
100900151,01847,혜화초등학교
100900152,01846,상명대입구
100900153,01845,사우디대사관
100900154,01843,서울시교육청
100900155,01842,김종영미술관
100900156,01840,세검정교회
100900157,01839,안국선원.삼거리
100900159,01837,스위스대사관
100900160,01836,보현빌라
100900161,01835,하림각
100900162,01833,북촌한옥마을입구.정세권활동터
100900163,01832,숭인1동주민센터
100900164,01831,월암공원
100900165,01830,지구촌교회
100900166,01829,부암슈퍼
100900167,01827,볼링장
100900168,01826,가회동주민센터
100900169,01862,새마을금고
100900170,01861,상명초등학교
100900171,01858,서울국제고등학교
100900172,01856,통일부
100900173,01855,종로센트레빌후문.e편한세상보문아파트
100900174,01540,국립민속박물관
100900177,01685,경복궁역
100900178,01501,삼청공원
100900179,01720,법련사
100900180,01791,엄마분식
100900181,01821,부암동주민센터.무계원
100900182,01549,구기터널입구
100900184,01577,청구빌라
100900186,01554,독립문역3번출구
100900187,01587,신학대학교총회본부
100900188,01514,적십자병원후문앞
100900189,01805,안국역2번출구앞
100900191,01794,종로5가역
100900192,01702,동대문종합시장
100900195,01686,연건동
100900197,01504,명륜새마을금고
100900198,01598,성균관대학교앞
100900199,01697,성대입구
100900200,01841,혜화동로터리
100900201,01852,국민생활관
100900202,01515,서울성곽.성대후문
100900203,01860,성대후문.와룡공원
100900204,01881,성균관대학교
100900205,01595,동묘역
100900206,01563,종로센트레빌아파트
100900207,01582,창신초등학교
100900210,01844,창신쌍용1단지.종로센트레빌아파트
100900211,01888,공평.종각
100900213,01889,조계사
100900214,01882,독립문역
100900215,01820,교남동주민센터
100900217,01557,종로1.2.3.4가동주민센터
101000001,02001,남대문세무서.서울백병원
101000002,02002,서울백병원.국가인권위.안중근활동터
101000003,02003,서울역버스환승센터
101000004,02004,서울역버스환승센터
101000005,02005,서울역버스환승센터
101000006,02006,서울역버스환승센터
101000007,02007,서울역버스환승센터.강우규의거터
101000009,02101,만리동고개
101000010,02102,손기정체육공원입구
101000011,02103,서울의료보건고등학교.서울역서부
101000012,02104,서울역서부
101000013,02105,서울역서부
101000014,02106,중림동교차로
101000015,02107,종근당.충정로역
101000016,02108,한국경제신문사.서소문역사공원
101000017,02109,한국경제신문사.서소문역사공원
101000018,02110,경찰청.동북아역사재단
101000020,02113,서대문경찰서.농협은행.유관순활동터
101000021,02116,염천교
101000022,02117,숭례문
101000023,02118,숭례문.한국일보
101000025,02120,후암삼거리
101000026,02121,숭례문
101000027,02122,숭례문
101000028,02123,숭례문
101000029,02124,남대문시장악세사리전문상가
101000030,02125,숭례문남산방향
101000031,02126,남대문시장
101000032,02127,북창동.남대문시장
101000033,02128,시청앞
101000034,02131,삼성본관앞
101000035,02132,시청앞
101000036,02133,서소문
101000037,02134,서소문
101000039,02137,서울신문사
101000040,02139,우리은행종로지점
101000041,02140,롯데백화점
101000042,02141,해운센터.롯데영프라자
101000043,02142,롯데영프라자
101000045,02144,신세계앞
101000046,02145,남대문시장.회현역
101000047,02146,남대문시장.회현역
101000048,02147,남산3호터널
101000049,02148,남산3호터널.서울애니메이션센터
101000050,02149,명동입구
101000051,02150,퇴계로2가.명동역
101000052,02151,퇴계로3가.한옥마을.한국의집
