표준버스정류장ID,버스정류장ARS번호,역명
108900185,09876,강북보건소.번2동주민센터
108900186,09878,강북구민운동장.4단지
108900189,09779,강북보건소.번2동주민센터
108900190,09865,번동초등학교
108900192,09898,금강산병원.전자공단
108900195,09568,오현초등학교
108900196,09860,동문굿모닝힐
108900199,09882,한양아파트입구.삼덕상운
108900201,09899,하나은행.새마을금고
108900203,09551,수유1동주민센터.파출소
108900204,09557,하나은행
108900205,09564,광성슈퍼
108900206,09573,한신대신학대학원.화계사
108900207,09582,삼양탕
108900208,09783,광성슈퍼
108900209,09789,수유1동주민센터.파출소
108900210,09811,성당앞
108900211,09553,광산사거리
108900212,09560,강북구청
108900215,09599,쌍문교
108900216,09500,우이동
108900217,09515,신성빌라
108900218,09531,강북청소년수련관
108900221,09862,국립4.19민주묘지
108900224,09871,강북청소년수련관
108900225,09877,신성빌라
108900230,09803,송암교회.화계사거리
108900232,09821,유진슈퍼
108900233,09591,강북구의회.강북문화예술회관
108900234,09597,가오리
108900235,09822,가오리
108900236,09829,강북구의회.강북문화예술회관
108900240,09908,삼성래미안아파트
108900241,09909,성우아파트
108900245,09913,미아사거리역
108900250,09920,두산위브아파트
108900258,09949,한영교회
108900259,09948,달팽이계단
108900260,09947,대성빌라정문
108900261,09946,신구한일아파트입구
108900262,09945,우일빌딩앞
108900263,09944,요진아파트
108900264,09943,수유시장
108900265,09942,미아역1번출구
108900266,09941,미아역3번출구
108900267,09940,남양빌라
108900268,09939,실버복지센터
108900269,09938,신구한일아파트입구
108900270,09937,대성빌라정문
108900271,09936,달팽이계단
108900272,09934,한영교회
108900273,09950,한국전력공사
108900274,10712,한국사회봉사회
109000001,10001,도봉산역
109000002,10002,도봉산역
109000003,10003,도봉한신아파트
109000004,10004,도봉한신아파트
109000005,10005,서울북부지방법원.검찰청.도봉역성황당
109000006,10006,서울북부지방법원.검찰청.도봉역성황당
109000007,10007,신도봉사거리
109000008,10008,신도봉사거리
109000009,10009,도봉소방서.방학남부역
109000010,10010,도봉소방서.방학남부역
109000011,10011,도봉보건소
109000012,10012,도봉보건소.북한산아이파크아파트
109000013,10013,도봉구민회관
109000014,10014,도봉구민회관
109000015,10015,쌍문역
109000016,10016,쌍문역
109000017,10017,우이1교앞
109000018,10018,우이1교앞
109000019,10019,신도봉시장.도봉구청.방학북부역
109000020,10020,신도봉시장.도봉구청.방학북부역
109000023,10103,도봉동한신아파트
109000024,10104,도봉동한신아파트
109000025,10107,서울북부지방법원.검찰청.도봉역성황당
109000026,10108,서울북부지방법원.검찰청.도봉역성황당
109000027,10109,도봉견인차량보관소
109000028,10110,도봉견인차량보관소
109000029,10111,방학역
109000030,10113,도봉소방서
109000031,10114,도봉소방서
109000032,10115,방학사거리.바로선병원
109000033,10116,방학사거리
109000034,10117,도봉보건소
109000035,10118,도봉보건소
109000036,10119,함석헌기념관.정의여중고
109000037,10120,함석헌기념관.정의여중고
109000038,10121,도봉구민회관
109000039,10122,도봉구민회관
109000040,10124,쌍문역.쌍문역골목시장
109000041,10126,쌍문역
109000042,10127,우이1교앞
109000044,10129,서울북부지방법원.검찰청.성우아파트
109000045,10130,서울북부지방법원.검찰청.성우아파트
109000046,10131,도봉시장
109000047,10132,도봉시장
109000048,10133,도봉구청
109000049,10134,도봉구청
109000050,10135,방학1동대상타운현대삼성아파트
109000051,10136,방학1동대상타운현대삼성아파트
109000052,10137,창동쌍용.성원아파트
109000053,10138,창동쌍용아파트
109000054,10139,자운고등학교앞
109000055,10140,자운고등학교앞
109000056,10141,창동동아청솔아파트
109000057,10142,창동동아청솔아파트
109000058,10143,창동농협물류센터
109000059,10144,창동농협물류센터
109000060,10145,창동농협물류센터
109000061,10146,창동역동측
109000062,10147,창동동아아파트
109000063,10148,창동동아아파트
109000064,10149,창동주공19단지
109000065,10150,창동주공19단지
109000066,10151,창동주공18단지
109000067,10152,창동주공18단지
109000068,10153,도봉산입구
109000069,10154,도봉고등학교
109000070,10155,도봉고등학교
109000071,10156,도봉역
109000072,10157,도봉역
109000073,10158,노원교
109000074,10159,노원교
109000075,10160,성대야구장노원교앞
109000076,10161,천주교도봉동교회
109000077,10162,천주교도봉동교회
109000078,10163,오봉초등학교
109000079,10164,오봉초등학교
109000080,10165,방학2동공영주차장
109000081,10166,방학2동공영주차장
109000082,10167,방학2동주민센터
109000083,10168,방학2동주민센터
109000088,10173,방학동신우빌라
109000089,10174,방학동신우빌라
109000090,10175,방학동삼익세라믹
109000091,10176,방학동삼익세라믹
109000092,10177,쌍문동청구아파트
109000093,10178,쌍문동청구아파트
109000094,10179,샘말어린이공원
109000095,10180,원약국
109000096,10181,원약국
109000097,10182,신한은행방학동지점
109000098,10183,신한은행방학동지점
109000099,10184,연산군.정의공주묘
109000100,10185,연산군정의공주묘
109000101,10186,방학동신동아타워
109000102,10187,방학동신동아타워
109000103,10188,방학3동신동아프라자
109000104,10189,방학동신동아아파트
109000105,10190,방학동신동아아파트
109000106,10191,국민은행방학지점
109000107,10192,국민은행방학지점
109000108,10193,신한은행방학동지점
109000109,10194,신한은행방학동지점
109000110,10195,방학사거리
109000111,10196,방학사거리
109000112,10197,서울문화고등학교
109000113,10198,서울문화고등학교
109000114,10199,서울문화고등학교
109000115,10200,쌍문동청한빌라
109000116,10201,쌍문동청한빌라
109000117,10202,쌍문동우이빌라
109000118,10203,쌍문동우이빌라
109000119,10204,초당초등학교
109000120,10205,초당초등학교
109000121,10206,방학동우성아파트
109000122,10207,방학동우성.청구아파트
109000123,10208,방학3동신동아프라자
109000124,10209,방학3동주민센터
109000125,10210,쌍문동성원아파트
109000126,10211,쌍문동성원아파트
109000127,10212,쌍문동한양.현대아파트
109000128,10213,쌍문동현대.한양아파트
109000129,10214,쌍문동삼익금호1차아파트
109000130,10215,쌍문동금호1차삼익아파트
109000131,10216,도봉구보건소앞
109000132,10217,도봉구보건소앞
109000133,10218,북서울교회
109000134,10219,서라벌중학교.우이동대우아파트
109000135,10221,덕성여대입구
109000136,10222,쌍문초등학교
109000137,10223,쌍문초등학교
109000138,10224,숭미초등학교
109000139,10225,숭미초등학교
109000140,10226,둘리뮤지엄.대우이안극동아파트
109000141,10227,둘리뮤지엄.대우이안극동아파트
109000142,10228,창동주공1단지
109000143,10229,창동주공1단지아파트
109000145,10231,서울북부지방법원등기국
109000146,10232,도봉등기소
109000148,10234,창동역서측
109000149,10235,창4동주민센터
109000150,10236,창4동주민센터
109000155,10241,창동주공4단지
109000156,10242,창동주공4단지
109000158,10244,도봉문화정보도서관
109000159,10245,도봉문화정보도서관
109000160,10246,창림초교창동신창아파트앞
109000161,10247,창림초교창동신창아파트앞
109000162,10248,국립현대미술관창동레지던시
109000163,10249,국립현대미술관창동레지던시
109000164,10250,창동서울탁주앞
109000165,10251,창동서울탁주앞
109000166,10252,창2동주민센터.보건지소
109000167,10253,창2동주민센터.보건지소
109000170,10256,중앙약국
109000171,10257,중앙약국
109000172,10258,한신아파트101동앞
109000173,10259,KT도봉지점
109000174,10260,창동청구빌라
109000175,10261,창동청구빌라
109000176,10262,창동대우아파트입구
109000177,10263,창동대우아파트입구
109000178,10264,창동대우아파트
109000179,10265,창동역동측(도봉방면)
109000180,10266,창동역동측(노원방면)
109000181,10269,서울가든아파트앞
109000182,10270,창1동주민센터
109000183,10271,창1동주민센터
109000184,10272,창동주공3단지
109000185,10273,창동주공3단지
109000188,10276,세그루학원
109000189,10277,세그루학원
109000190,10278,창동주공17단지
109000191,10279,창동주공17단지
109000192,10280,창3동염광아트빌
109000193,10281,창3동염광아트빌
109000194,10282,한승미메이드아파트
109000195,10283,한승미메이드아파트
109000196,10284,북서울농협창동지점
109000197,10285,북서울농협창동지점
109000198,10286,신화초교입구
109000199,10287,신화초교입구
109000206,10294,방학동도깨비시장입구
109000207,10295,거성학마을아파트
109000208,10296,도봉새마을금고본점
109000209,10297,창5동현대아파트
109000210,10298,창5동현대1차아파트
109000211,10299,창동아이파크
109000214,10302,방학3동주민센터
109000215,10303,도봉동서광아파트
109000216,10304,정병원
109000217,10305,창동고등학교
109000218,10306,정의여중고입구
109000221,10309,도깨비시장
109000222,10310,방학동도깨비시장
109000223,10311,태영데시앙아파트
109000224,10312,창번교앞
109000225,10313,금용아파트
109000226,10314,창번2교앞
109000227,10315,대우아파트104동
109000228,10317,도봉산입구
109000231,10320,샘말어린이공원
109000232,10321,안방학동
109000236,10325,동아운수앞
109000241,10330,창동.신창시장
109000242,10331,신창.창동시장
109000293,10657,창동고등학교
109000361,10735,서원아파트
109000364,10740,서울문화고등학교
109000396,10334,안방학동
109000397,10333,안방학동
109000399,10336,태영데시앙아파트
109000400,10337,방학중학교
109000403,10335,창동농협물류센터
109000406,10340,도봉산역광역환승센터
109000407,10105,녹천역
109000408,10341,도봉산역광역환승센터
109000410,10713,북한산아이파크
109000411,10808,방학중학교
109000412,10831,한신아파트정문
109900001,10510,용호약국
109900002,10509,한일병원입구
109900003,10511,에덴약국
109900005,10506,법종사
109900006,10502,도봉여성센터
109900007,10504,동익아파트
109900008,10838,법종사
109900009,10836,환승장.기숙사
109900010,10834,약초원.동아슈퍼
109900011,10822,서울북부지방법원
109900012,10821,서울문화고등학교
109900013,10819,대상타운현대아파트
109900014,10818,삼환.동아에코빌아파트
109900015,10817,방학삼성래미안1단지아파트
109900016,10814,극동유원아파트후문
109900017,10813,도봉중학교.서원아파트
109900018,10812,도봉파크빌2단지앞
109900019,10810,누원고등학교.한신아파트정문
109900020,10809,오봉초등학교
109900021,10807,시온슈퍼
109900022,10806,방학동극동아파트.방학동천주교성당
109900023,10805,부부슈퍼
109900024,10803,삼거리슈퍼
109900025,10802,도봉파크빌3단지
109900027,10800,성황당
109900028,10799,도봉산역
109900029,10798,신동아아파트16동
109900030,10792,북서울중학교
109900031,10791,도봉파크빌3단지
109900032,10790,청한빌라
109900033,10789,한일병원입구
109900034,10787,윤성빌라.다리앞
109900035,10786,한신아파트정문
109900036,10785,엘지전자
109900037,10784,우이성당
109900038,10783,우이1교
109900039,10781,도봉초등학교
109900040,10780,약초원.동아슈퍼
109900041,10779,신일라이프아파트
109900042,10777,덕성여대후문.효문중고교앞
109900044,10775,정의여중고
109900045,10757,무수골
109900046,10747,청구아파트
109900047,10745,소피아호텔
109900048,10737,누원고등학교.한신아파트정문
109900049,10698,도봉파크빌2단지
109900050,10697,에덴약국
109900051,10667,윤성빌라.다리앞
109900052,10638,한신아파트후문
109900053,10637,쌍문1동현대아파트
109900054,10612,쌍문동한양아파트
109900055,10600,유원극동아파트
109900056,10599,도봉경찰서.창4동주민센터
109900057,10598,오복슈퍼
109900058,10597,용호약국
109900060,10594,창2동건영아파트
109900061,10592,대우.삼성서비스센터
109900062,10590,사거리슈퍼앞
109900064,10587,창2동주민센터.보건지소
109900065,10585,도봉역
109900066,10583,쌍문초등학교
109900067,10582,믿음주유소
109900068,10580,방학3동주민센터
109900069,10578,삼거리슈퍼
109900071,10573,부부슈퍼
109900072,10572,서울북부지방법원
109900073,10570,김수영문학관
109900074,10568,시온슈퍼
109900075,10565,엘지전자
109900076,10564,청구아파트
109900077,10561,오봉초등학교
109900078,10560,도봉시장
109900080,10557,선덕사거리.세그루학원입구
109900081,10553,세무서앞
109900082,10551,성원아파트
109900083,10549,도봉중학교.서원아파트
109900084,10546,미래빌라
109900085,10542,쌍문동현대1차아파트
109900086,10541,소피아호텔
109900087,10540,방학삼성래미안1단지아파트
109900089,10532,쌍문초등학교
109900092,10528,덕성여대후문.효문중고교앞
109900093,10527,환승장.기숙사
109900094,10526,쌍문1동주민센터
109900096,10522,오복슈퍼
109900097,10521,믿음주유소
109900098,10519,방학동성원아파트.방학3동주민센터
109900099,10516,쌍문1동현대아파트
109900100,10515,사거리슈퍼
109900102,10512,청한빌라
109900103,10816,삼환아파트후문
109900104,10505,꽃동네
109900105,10517,우이성당
109900106,10533,쌍문1치안센터
109900107,10537,경기장학관
109900108,10734,경기장학관
109900109,10754,쌍문1치안센터
109900111,10536,시립도봉노인종합복지관
109900114,10503,한일병원
109900115,10535,신일라이프아파트
109900117,10588,금호타운
109900121,10815,도봉구청
109900123,10563,방학3동주민센터
109900125,10804,대원그린아파트.도봉실버센터
109900126,10575,벽산아파트
109900131,10550,창동한신아파트
109900132,10556,창동중앙약국
109900134,10584,창동고등학교
109900135,10736,창동이마트
109900137,10569,창성빌라
109900140,10529,창동아이파크
109900149,10586,성황당
109900150,10593,도봉1동주민센터.럭키아파트
109900151,10604,북서울중학교
109900152,10722,도봉초등학교
109900153,10744,부대앞
109900154,10778,부대앞
109900155,10797,도봉1동주민센터.럭키아파트
109900157,10554,하나약국
109900159,10820,노원교.성대야구장
109900161,10826,도봉시장
109900162,10828,하나약국
109900164,10172,신방학중학교앞
109900165,10293,서울외국어고등학교
109900166,10292,서울외국어고등학교
109900167,10710,창동아이파크
109900168,10711,북한산아이파크
109900169,10714,창동아이파크
109900170,10700,녹천역북부역
109900171,10701,창1동대우그린아파트
109900172,10702,창일중학교
109900173,10703,창동역서측
109900174,10704,상아아파트
109900175,10705,옛고을길입구
109900176,10706,창일중학교
109900177,10707,주공4단지후문
109900178,10841,효문중학교
109900179,10842,효문중학교
109900180,10843,도봉중학교후문
110000001,11101,공릉시장
110000002,11102,공릉시장
110000003,11103,태릉입구역4번출구
110000004,11104,태릉입구역3번출구
110000005,11105,태릉입구역
110000006,11106,태릉입구역
110000007,11107,공릉1동삼익아파트
110000008,11108,공릉초등학교
110000009,11109,대주아파트
110000010,11110,공릉행복발전소
110000011,11111,공릉대아2차아파트
110000012,11112,태릉사거리
110000013,11113,경춘선숲길.토끼굴앞
110000014,11114,주유소앞다운복지관
110000015,11115,태릉사거리
110000016,11116,서울생활사박물관.농협앞
110000017,11117,태릉입구역7번출구.서울생활사박물관
110000018,11118,화랑대역1번출구
110000019,11119,공연초등학교
110000020,11120,공릉역
110000021,11121,서울과학기술대앞
110000022,11122,동신아파트
110000023,11123,현대성우아파트
110000024,11124,동부아파트
110000025,11125,한보아파트.삼익아파트
110000026,11126,삼익아파트.한보아파트
110000027,11127,원자력병원
110000028,11128,원자력병원입구
110000029,11129,안마을
110000030,11130,두산힐스빌아파트
110000031,11131,두산힐스빌아파트
110000032,11132,안마을
110000033,11133,공릉해링턴플레이스
110000034,11134,효성화운트빌원자력병원후문
110000035,11135,공릉우방아파트
110000036,11136,태릉현대아파트
110000037,11137,화랑타운아파트
110000038,11138,청솔아파트
110000039,11139,화랑대역2번출구
110000040,11140,화랑대사거리
110000041,11141,화랑대사거리
110000042,11142,경춘선숲길화랑대역공원
110000043,11143,경춘선숲길화랑대역공원
110000044,11144,서울여대.육군사관학교행정안내소
110000045,11145,서울여대.육군사관학교행정안내소
110000046,11146,태릉국제사격장
110000047,11147,태릉국제사격장
110000048,11148,태릉
110000049,11149,태릉
110000050,11150,태릉선수촌
110000051,11151,태릉선수촌
110000052,11203,수락리버시티아파트
110000053,11153,한국스포츠정책과학원
110000054,11154,삼육대앞
110000055,11155,삼육대앞
110000056,11156,담터고개
110000057,11157,원자력병원공릉동삼익2차아파트
110000058,11158,예수사랑교회
110000059,11159,서울과학기술대입구
110000060,11160,서울과학기술대입구
110000061,11161,공릉역1번출구
110000062,11162,공릉역4번출구
110000063,11163,공릉신도2차아파트
110000064,11164,공릉대동2차아파트
110000065,11165,공릉대동2차아파트
110000066,11166,노원문화원
110000067,11167,노원문화원
110000068,11168,용원초등학교
110000069,11169,용원초등학교
110000071,11171,공릉2단지
110000073,11173,영화교회
110000075,11175,공릉삼익아파트
110000076,11176,공연초등학교
110000077,11177,공릉역
110000078,11178,공릉1단지후문
110000080,11180,상계주공9단지
110000081,11181,노원고등학교
110000082,11182,임광아파트상가
110000083,11183,상계주공7단지
110000084,11184,대림아파트상가
110000085,11185,도봉면허시험장
110000086,11186,도봉면허시험장
110000087,11187,상계주공7단지
110000088,11188,상계주공7단지.광림교회앞
110000089,11189,상계10동우체국
110000090,11190,청원고등학교
110000091,11191,상계주공9단지
110000092,11192,온곡중학교노원정보도서관
110000093,11193,온곡중학교노원정보도서관
110000094,11194,두산아파트.도심공항수락터미널
110000095,11195,두산아파트.도심공항수락터미널
110000096,11196,수락산역3번출구
110000097,11197,수락산역
110000098,11198,노일초등학교
110000099,11199,노원초등학교
110000100,11200,상계현대2차아파트
110000101,11201,상계현대3차아파트
110000102,11202,수락리버시티아파트
110000104,11204,수락중고등학교
110000105,11205,수락중고등학교
110000106,11206,은빛아파트2단지
110000107,11207,홍파복지원미주아파트
110000108,11208,상계초등학교
110000109,11209,상계초등학교
110000110,11210,노원역9번출구
110000111,11211,노원역1번출구
110000112,11212,롯데백화점노원점
110000113,11213,와우패션클럽
110000114,11214,중앙하이츠2차아파트
110000115,11215,상계중학교정문
110000116,11216,상계중학교
110000117,11217,코오롱아파트.양지대림아파트
110000118,11218,상계119안전센터
110000119,11219,상계119안전센터
110000120,11220,상계동주유소
110000121,11221,상계동주유소
110000122,11222,상계중앙시장입구
110000123,11223,상계중앙시장입구
110000124,11224,흥안운수종점
110000125,11225,흥안운수종점
110000126,11226,불암현대아파트
110000127,11227,동아불암아파트
110000128,11228,동아불암아파트
110000129,11229,상계시장
110000130,11230,불암대림아파트
110000131,11231,불암대림아파트
110000132,11232,흥안운수상계4동종점
110000133,11233,상계역
110000134,11234,상신교회
110000135,11235,상신교회
110000136,11236,계상초등학교
110000137,11237,상계5동주민센터
110000138,11238,상계한신2차아파트
110000139,11239,상계한신2차아파트
110000140,11240,상계벽산아파트
110000143,11243,벽산아파트103동
110000144,11244,상계주공3단지
110000145,11245,상계주공2단지
110000146,11246,상계주공1단지
110000147,11247,마들근린공원.노원에코센터
110000148,11248,마들근린공원.노원에코센터
110000151,11251,노원구청
110000152,11252,노원구청
110000153,11253,상계주공2단지223동
110000154,11254,상계주공2단지
110000155,11255,상계주공6단지
110000156,11256,상계주공4단지
110000157,11257,백병원
110000160,11260,상계6.7동주민센터
110000161,11261,상계중학교
110000166,11266,상경초등학교
110000167,11267,상계주공15단지
110000168,11268,상계주공11단지
110000169,11269,상계주공10단지
110000170,11270,노원고등학교
110000171,11271,상계주공10단지상가
110000172,11272,상계주공14단지
110000173,11273,상계주공12단지
110000174,11274,보람아파트1단지
110000175,11275,보람아파트2단지
110000176,11276,청원고등학교
110000177,11277,상계주공12단지1202동
110000178,11278,광운대역
110000179,11279,광운대역
110000180,11280,월계현대아파트
110000181,11281,월계현대아파트
110000182,11282,물류센터
110000183,11283,석계역1번출구.A
110000184,11284,석계역2번출구
110000185,11285,광운대학교
110000186,11286,월계삼거리
110000191,11291,청백아파트1단지
110000192,11292,대우아파트
110000193,11293,청백아파트3단지4단지
110000194,11294,청백아파트3단지4단지
110000195,11295,초안아파트.흥화브라운빌아파트
110000196,11296,초안아파트.흥화브라운빌아파트
110000197,11297,쌍용스윗닷홈아파트
110000198,11298,신창중학교후문
110000199,11299,신창중학교후문
110000200,11300,염광고등학교
110000201,11301,염광고등학교
110000202,11302,월계주공1단지상가
110000203,11303,월계공단
110000204,11304,월계종합사회복지관
110000205,11305,월계종합사회복지관
110000206,11306,월계주공2단지
110000207,11307,월계주공1단지
110000208,11308,인덕대학교
110000209,11309,인덕대학교
110000210,11310,월계주공108동앞롯데캐슬루나아파트
110000211,11311,인덕대학
110000212,11312,한진한화그랑빌아파트
110000213,11313,한진한화그랑빌아파트
110000214,11314,한천초등학교
110000215,11315,한천초등학교
110000216,11317,월계미성아파트
110000217,11318,월계미륭아파트
110000218,11319,월계미륭아파트
110000219,11320,월계삼호아파트
110000220,11321,월계삼호아파트
110000221,11322,월계삼호4차아파트
110000222,11323,월계삼호4차아파트
110000223,11324,녹천초등학교월계이마트
110000224,11325,녹천초등학교월계이마트
110000225,11326,월계사슴아파트2단지
110000226,11327,월계사슴아파트3단지
110000227,11328,월계역
110000228,11329,월계역
110000229,11330,대우아파트
110000230,11331,인덕삼거리
110000231,11332,신도브래뉴.한전노원변전소
110000232,11333,광운중학교
110000233,11334,광운전자공업고등학교
110000234,11335,광운대학교
110000235,11336,월계삼거리
110000236,11337,롯데캐슬루나아파트
110000237,11338,인덕대앞
110000238,11339,월계보건지소
110000239,11340,월계보건지소
110000240,11341,흥진빌라
110000242,11343,장석교회
110000243,11344,쌍용스윗닷홈아파트
110000244,11345,인덕삼거리
110000245,11346,신도브래뉴.한전노원변전소
110000246,11347,상명고등학교.성원아파트
110000247,11348,중계1동주민센터
110000248,11349,은행사거리
110000249,11350,양지근린공원
110000250,11351,서라벌고등학교
110000251,11352,불암중학교
110000252,11353,불암중학교
110000253,11354,중계주공10단지.중계건영3차아파트
110000254,11355,롯데우성아파트
110000255,11356,노원구민체육센터
110000256,11357,노원구민체육센터
110000257,11358,롯데마트
110000258,11359,을지중학교
110000259,11360,을지중학교
110000260,11361,청암중.고등학교
110000263,11364,중계주공5단지514동
110000264,11365,원광초등학교
110000265,11366,중계역
110000266,11367,노원구민회관
110000267,11368,건영옴니백화점
110000268,11369,브라운스톤중계.우리은행앞
110000269,11370,서울아이티고등학교
110000270,11371,서울아이티고등학교
110000271,11372,어린이교통공원
110000272,11373,중계역
110000273,11374,서울시립북서울미술관
110000274,11375,중계건영2차아파트
110000275,11376,중계역2번출구
110000276,11377,상명초등학교
110000277,11378,중계3단지목련아파트
110000278,11379,상명고등학교
110000279,11380,목련아파트상가
110000280,11381,중계목화아파트4단지
110000281,11382,용동초등학교
110000282,11383,용동초등학교
110000283,11384,2001아울렛중계점
110000284,11385,2001아울렛중계점
110000285,11386,홈플러스중계점
110000286,11387,노원평생학습관
110000287,11388,대진여자고등학교
110000288,11389,청계초등학교
110000289,11390,중계역1번출구
110000290,11391,상계역
110000291,11392,상계역
110000292,11393,상계역
110000293,11394,중계주공3단지
110000294,11395,중계주공2단지
110000295,11396,중계주공4단지
110000296,11397,중계주공4단지
110000297,11398,중계1동주민센터
110000298,11399,신한은행중계본동지점
110000299,11400,기업은행중계동지점
110000301,11402,노원문화예술회관.불암초등학교
110000302,11403,노원문화예술회관.불암초등학교
110000303,11404,영신여자고등학교입구
110000304,11405,불암고등학교
110000305,11406,중계본동주민센터
110000306,11407,노원우체국
110000307,11408,노원우체국
110000308,11409,중계본동종점
110000309,11410,중계주공7단지
110000310,11411,중계주공6단지상가
110000311,11412,대림벽산아파트
110000312,11413,중계주공6단지
110000313,11414,은행사거리
110000314,11415,대림벽산아파트
110000315,11416,하계역
110000316,11417,하계미성아파트
110000317,11418,서울과학기술대앞
110000318,11419,중계주공9단지후문
110000319,11420,중계주공9단지후문
110000320,11421,삼익선경아파트후문.시립과학관
110000321,11422,한신동성아파트.시립과학관
110000322,11423,삼익선경아파트
110000323,11424,대진고등학교.하계우방아파트
110000324,11425,하계미성아파트.을지병원
110000325,11426,하계역
110000327,11428,한성여객종점
110000328,11429,한성여객종점
110000333,11434,골마을근린공원
110000334,11435,서울온천
110000335,11436,하계1동주민센터
110000336,11437,노원경찰서.혜성여고
110000337,11438,노원경찰서
110000338,11439,동천학교
110000339,11440,동천학교
110000340,11441,서라벌고등학교
110000341,11442,하계현대아파트
110000342,11443,홈플러스중계점
110000343,11444,하계한신청구아파트
110000344,11445,경기기계공업고등학교
110000345,11446,한천중학교
110000346,11447,하계역
110000347,11448,하계장미아파트
110000348,11449,하계2동주민센터
110000349,11450,하계2동주민센터
110000350,11451,중평초등학교
110000351,11452,하계극동아파트
110000352,11453,하계시영아파트
110000353,11454,하계우성아파트
110000354,11455,하계장미아파트
110000355,11456,중평초등학교
110000356,11457,석계역1번출구
110000357,11458,중계1동신안아파트
110000361,11462,당현초등학교
110000362,11463,상계주공2단지상가
110000363,11464,월계미성아파트
110000364,11465,벼루말교
110000365,11466,청구빌라.연촌초등학교
110000366,11467,청구빌라.연촌초등학교
110000367,11468,벼루말교
110000368,11469,하계1치안센터
110000369,11470,하계1치안센터
110000373,11474,월계중학교
110000374,11475,염광중학교후문
110000375,11476,물류센터
110000376,11477,월계역신도브래뉴아파트앞
110000377,11478,태릉입구
110000378,11479,석계역2번출구
110000379,11481,석계역1번출구.B
110000380,11482,삼화상운차고지
110000383,11485,월계동진아교통
110000384,11486,월계동진아교통
110000385,11487,중계본동종점
110000387,11489,한성여객종점
110000388,11490,한진한화그랑빌아파트
110000389,11491,흥안운수상계4동종점
110000391,11493,삼화상운
110000396,11499,유원극동아파트
110000397,11500,유원극동아파트
110000398,11501,월계미륭아파트
110000399,11502,7단지영업소
110000587,11801,청솔7단지앞
110000589,11803,경춘선숲길방문자센터
110000640,11503,수락리버시티3.4단지
110000652,11152,한국스포츠정책과학원
110000653,11505,경춘선숲길방문자센터
110000654,21341,건설환경종합연구소앞
110000656,11506,월계주공1단지아파트앞
110000674,11508,중계본동종점
110000675,11509,불암산종합스타디움
110000676,11507,불암산종합스타디움
110000679,11931,노원역8번출구
110000682,11430,상계중앙하이츠2단지
110000683,11170,공릉동.동신아파트앞
110000684,11461,북부여성발전센터앞
110000685,11432,그린아파트101동앞
110000686,11460,그린아파트101동앞
110000687,11431,북부여성발전센터앞
110000688,11555,상계초등학교
110000689,11459,하계5단지아파트
110000692,11174,서울과학기술대학교후문
110000693,11172,서울과학기술대학교후문
110000694,11504,7단지영업소
110000695,11433,대진고등학교
110000696,11401,공릉신도2차아파트
110000698,11262,상계2동주민센터
110000699,11242,상계2동주민센터
110900001,11511,수락현대아파트
110900002,11512,서울특별시북부기술교육원
110900003,11513,상계8동주민센터
110900004,11514,온곡초등학교
110900005,11515,상계역
110900006,11516,수락산디자인거리
110900007,11518,상계주공11단지
110900008,11521,상계3동파출소
110900009,11524,마들역
110900010,11527,오뚜기슈퍼
110900011,11532,대동아파트
110900012,11534,또또슈퍼
110900013,11535,상계주공14단지
110900014,11537,청원고등학교
110900015,11538,수락산역
110900016,11539,대동택시
110900017,11540,14단지상가
110900018,11541,건영옴니백화점
110900019,11542,상계주공9단지.포레나노원
110900020,11545,럭키수퍼
110900021,11929,상원중학교
110900022,11928,상원초등학교
110900023,11927,원자력병원입구
110900024,11916,상계현대3차아파트
110900025,11915,미도아파트앞
110900027,11910,현대우성아파트
110900028,11907,벽산상가
110900029,11906,지에스마트
110900030,11904,하계실버센터
110900031,11903,수락현대아파트
110900032,11899,수락산디자인거리
110900033,11898,성원아파트
110900035,11894,7호선수락산역
110900036,11893,대주아파트
110900037,11890,대아아파트
110900038,11888,광운대역
110900039,11887,상계주공14단지
110900040,11886,건민약국앞
110900041,11885,주공11단지성당
110900042,11884,월계1동주민센터
110900043,11882,동일초등학교
110900044,11881,농협
110900045,11880,14단지상가
110900046,11875,마들역
110900047,11874,석계역
110900049,11867,온곡중학교
110900050,11865,노원여성개발센터
110900052,11847,청원고등학교
110900053,11842,동신아파트
110900054,11819,상계주공13단지
110900055,11809,노원푸드마켓
110900056,11804,메디아이산부인과
110900057,11796,포레나노원
110900058,11793,삼창아파트
110900059,11784,보람아파트상가
110900060,11781,지에스마트
110900061,11680,순복음교회
110900062,11675,동신아파트
110900063,11634,장미5단지아파트
110900064,11631,태강아파트
110900065,11601,KT전화국
110900066,11597,장미6단지아파트
110900067,11594,석계역
110900068,11593,상신교회
110900069,11592,하계2동주민센터
110900070,11587,대림아파트105동앞
110900071,11581,광운대역
110900073,11579,노원푸드마켓
110900074,11577,보람사거리
110900075,11576,상계주공15단지
110900077,11567,보람아파트정문
110900078,11566,한신1차아파트정문
110900079,11563,노원구청앞
110900080,11560,상계주공13단지
110900081,11559,은성마트
110900082,11558,상계1차현대아파트
110900083,11554,벽산상가
110900084,11552,한신1차아파트후문
110900085,11550,건민약국앞
110900086,11549,주유소앞
110900087,11546,상원초등학교
110900088,11714,공릉동두산아파트
110900090,11869,화진연립
110900091,11599,화진연립
110900093,11572,인덕대입구
110900095,11901,공릉초등학교
